time,open,high,low,close,volume
2007-11-25,790.0,825.2,772.5,823.3,30848
2007-12-02,824.8,836.6,778.7,782.7,58657
2007-12-09,784.6,806.5,776.8,794.4,50392
2007-12-16,795.2,816.9,787.4,794.4,46786
2007-12-23,795.1,812.0,784.8,811.2,34518
2007-12-30,810.4,839.4,807.9,839.1,8664
2008-01-06,841.1,869.0,828.5,859.2,31202
2008-01-13,861.5,897.8,854.8,894.9,60607
2008-01-20,896.9,914.0,869.8,882.7,67883
2008-01-27,881.9,923.3,849.6,913.5,59960
2008-02-03,916.3,936.7,903.5,905.0,54923
2008-02-10,909.7,922.4,883.9,922.1,48067
2008-02-17,922.9,926.7,895.8,902.0,48055
2008-02-24,904.0,953.4,899.9,944.7,46541
2008-03-02,946.5,975.8,926.0,973.5,47662
2008-03-09,976.1,992.5,956.1,972.5,54693
2008-03-16,973.6,1006.7,960.6,1002.5,47755
2008-03-23,1017.0,1032.2,904.4,917.6,38217
2008-03-30,914.0,954.7,906.1,931.2,36792
2008-04-06,928.2,940.5,871.8,913.4,43887
2008-04-13,915.5,939.3,902.7,924.7,35149
2008-04-20,920.1,952.4,904.4,916.2,30155
2008-04-27,917.6,928.4,877.5,885.8,32017
2008-05-04,887.1,895.4,844.9,855.9,37110
2008-05-11,861.6,889.3,860.2,884.3,30660
2008-05-18,885.1,904.4,859.6,902.1,35014
2008-05-25,905.1,934.9,900.5,924.5,29977
2008-06-01,923.9,930.5,870.4,886.3,28540
2008-06-08,886.8,901.9,864.6,901.8,32994
2008-06-15,903.4,908.8,857.1,868.8,30335
2008-06-22,872.0,908.3,866.3,901.6,33999
2008-06-29,903.6,930.4,873.2,927.3,34472
2008-07-06,929.3,946.2,918.2,933.6,32994
2008-07-13,932.0,967.4,912.4,963.7,42404
2008-07-20,963.7,988.0,949.5,954.5,47342
2008-07-27,956.1,975.7,916.5,929.1,36461
2008-08-03,928.1,932.9,893.6,910.3,35099
2008-08-10,912.7,915.1,850.5,856.2,42810
2008-08-17,861.3,865.6,772.6,787.1,53143
2008-08-24,793.1,838.8,781.9,822.7,43048
2008-08-31,822.1,843.7,806.6,830.7,41059
2008-09-07,833.8,835.1,789.1,803.3,41027
2008-09-14,812.3,817.8,735.9,764.9,48023
2008-09-21,778.6,909.7,764.2,872.8,54178
2008-09-28,878.5,911.2,861.7,877.8,55401
2008-10-05,871.5,923.9,819.0,835.3,68987
2008-10-12,829.0,931.1,825.4,849.6,56296
2008-10-19,862.5,871.9,772.4,782.8,51104
2008-10-26,786.1,809.7,681.4,733.2,68061
2008-11-02,736.7,777.2,706.6,723.7,57169
2008-11-09,728.2,767.5,721.4,735.8,57616
2008-11-16,750.6,767.9,699.7,741.2,63046
2008-11-23,739.4,801.3,730.6,800.0,65227
2008-11-30,801.7,830.5,785.9,816.0,47457
2008-12-07,815.1,815.2,741.1,755.7,81194
2008-12-14,758.4,834.3,758.3,821.3,56369
2008-12-21,827.8,881.5,822.1,837.5,65842
2008-12-28,839.7,871.1,829.9,867.0,43117
2009-01-04,875.1,887.8,855.3,874.6,24349
2009-01-11,882.6,884.0,836.3,853.0,89645
2009-01-18,852.7,853.6,801.9,841.7,67615
2009-01-25,840.6,902.7,823.2,898.7,75377
2009-02-01,896.4,929.2,874.2,926.5,84000
2009-02-08,923.7,924.8,888.9,910.7,53187
2009-02-15,906.3,952.2,890.4,941.0,56925
2009-02-22,940.6,1005.9,935.7,992.1,29837
2009-03-01,995.2,997.7,927.5,941.6,57976
2009-03-08,947.5,957.9,899.5,938.6,121707
2009-03-15,937.4,940.3,890.8,929.0,118356
2009-03-22,925.1,966.7,883.0,951.4,141233
2009-03-29,950.6,956.7,916.1,922.4,105604
